2020-04-12 22:50:37,039 DEBUG   MainThread:40620 [wandb_config.py:_load_defaults():122] no defaults not found in config-defaults.yaml
2020-04-12 22:50:37,077 DEBUG   MainThread:40620 [meta.py:setup():97] code probe starting
2020-04-12 22:50:37,079 DEBUG   MainThread:40620 [meta.py:_setup_code_git():49] probe for git information
2020-04-12 22:50:37,094 DEBUG   MainThread:40620 [meta.py:_setup_code_program():58] save program starting
2020-04-12 22:50:37,094 DEBUG   MainThread:40620 [meta.py:_setup_code_program():60] save program starting: /home/tmarcu/brain2brain/brain2brain/__main__.py
2020-04-12 22:50:37,096 DEBUG   MainThread:40620 [meta.py:_setup_code_program():65] save program saved: /home/tmarcu/brain2brain/tcn_m2o_bin_norm_noseq_7/wandb/dryrun-20200413_025036-2670pdvj/code/brain2brain/__main__.py
2020-04-12 22:50:37,096 DEBUG   MainThread:40620 [meta.py:_setup_code_program():67] save program
2020-04-12 22:50:37,097 DEBUG   MainThread:40620 [meta.py:setup():119] code probe done
2020-04-12 22:50:37,105 DEBUG   MainThread:40620 [run_manager.py:__init__():545] Initialized sync for brain2brain/2670pdvj
2020-04-12 22:50:37,107 INFO    MainThread:40620 [run_manager.py:wrap_existing_process():1148] wrapping existing process 40605
2020-04-12 22:50:38,046 INFO    Thread-3  :40620 [run_manager.py:_on_file_modified():692] file/dir modified: /home/tmarcu/brain2brain/tcn_m2o_bin_norm_noseq_7/wandb/dryrun-20200413_025036-2670pdvj/config.yaml
2020-04-12 22:50:43,164 INFO    MainThread:40620 [run_manager.py:init_run():928] system metrics and metadata threads started
2020-04-12 22:50:43,164 INFO    MainThread:40620 [run_manager.py:wrap_existing_process():1165] informing user process we are ready to proceed
2020-04-12 22:50:43,164 INFO    MainThread:40620 [run_manager.py:_sync_etc():1272] entering loop for messages from user process
2020-04-12 22:50:45,182 INFO    MainThread:40620 [run_manager.py:_sync_etc():1295] received message from user process: {"save_policy": {"glob": "model-best.h5", "policy": "live"}}
2020-04-12 23:03:51,732 INFO    MainThread:40620 [run_manager.py:_sync_etc():1295] received message from user process: {"save_policy": {"glob": "wandb.h5", "policy": "live"}}
2020-04-12 23:03:51,795 INFO    MainThread:40620 [run_manager.py:_sync_etc():1295] received message from user process: {"exitcode": 0}
2020-04-12 23:03:51,795 INFO    MainThread:40620 [run_manager.py:_sync_etc():1381] closing log streams and sending exitcode to W&B
2020-04-12 23:03:51,795 INFO    MainThread:40620 [run_manager.py:shutdown():1072] shutting down system stats and metadata service
tcode": 0}
2020-04-12 23:03:51,795 INFO    MainThread:40620 [2670pdvj:run_manager.py:_sync_etc():1381] closing log streams and sending exitcode to W&B
2020-04-12 23:03:51,795 INFO    MainThread:40620 [2670pdvj:run_manager.py:shutdown():1072] shutting down system stats and metadata service
